Start time:, 1647331307195166870
End time:, 1647331308045577516
Total time:, 850410646

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
customers, 1, 12, 851, 0.000100, 70, 106, 36
customers, 2, 12, 861, 0.000101, 71, 110, 29
customers, 1, 12, 850, 0.000100, 70, 107, 35
customers, 2, 12, 849, 0.000100, 70, 110, 27
customers, 1, 12, 860, 0.000101, 71, 107, 35
customers, 2, 12, 867, 0.000102, 72, 110, 35
customers, 1, 12, 845, 0.000099, 70, 107, 35
customers, 2, 12, 881, 0.000104, 73, 113, 36
customers, 1, 12, 847, 0.000100, 70, 107, 35
customers, 2, 12, 864, 0.000102, 72, 110, 35
customers, 1, 12, 890, 0.000105, 74, 133, 35
customers, 2, 12, 941, 0.000111, 78, 137, 35
customers, 1, 12, 847, 0.000100, 70, 110, 27
customers, 2, 12, 861, 0.000101, 71, 110, 36
customers, 1, 12, 877, 0.000103, 73, 107, 28
customers, 2, 12, 866, 0.000102, 72, 110, 35
customers, 1, 12, 862, 0.000101, 71, 110, 34
customers, 2, 12, 887, 0.000104, 73, 133, 28
customers, 1, 12, 863, 0.000101, 71, 113, 35
customers, 2, 12, 854, 0.000100, 71, 110, 34
customers, 1, 12, 850, 0.000100, 70, 107, 35
customers, 2, 12, 860, 0.000101, 71, 110, 29
customers, 1, 12, 845, 0.000099, 70, 110, 35
customers, 2, 12, 910, 0.000107, 75, 160, 29
customers, 1, 12, 852, 0.000100, 71, 110, 28
customers, 2, 12, 876, 0.000103, 73, 113, 36
customers, 1, 12, 870, 0.000102, 72, 117, 35
customers, 2, 12, 868, 0.000102, 72, 110, 36
customers, 1, 12, 852, 0.000100, 71, 107, 29
customers, 2, 12, 847, 0.000100, 70, 110, 28
customers, 1, 12, 890, 0.000105, 74, 136, 36
customers, 2, 12, 860, 0.000101, 71, 110, 35
customers, 1, 12, 848, 0.000100, 70, 107, 27
customers, 2, 12, 858, 0.000101, 71, 110, 28
customers, 1, 12, 858, 0.000101, 71, 110, 35
customers, 2, 12, 866, 0.000102, 72, 110, 36
customers, 1, 12, 840, 0.000099, 70, 106, 30
customers, 2, 12, 905, 0.000106, 75, 114, 30
customers, 1, 12, 855, 0.000101, 71, 110, 28
customers, 2, 12, 873, 0.000103, 72, 110, 35
customers, 1, 12, 860, 0.000101, 71, 110, 35
customers, 2, 12, 7793, 0.000916, 649, 7047, 29
customers, 1, 12, 843, 0.000099, 70, 107, 35
customers, 2, 12, 884, 0.000104, 73, 120, 36
customers, 1, 12, 913, 0.000107, 76, 120, 35
customers, 2, 12, 865, 0.000102, 72, 110, 36
customers, 1, 12, 850, 0.000100, 70, 110, 35
customers, 2, 12, 857, 0.000101, 71, 110, 28
customers, 1, 12, 848, 0.000100, 70, 110, 35
customers, 2, 12, 867, 0.000102, 72, 110, 36
customers, 1, 12, 839, 0.000099, 69, 107, 28
customers, 2, 12, 869, 0.000102, 72, 110, 36
customers, 1, 12, 872, 0.000103, 72, 110, 35
customers, 2, 12, 860, 0.000101, 71, 110, 28
customers, 1, 12, 878, 0.000103, 73, 110, 36
customers, 2, 12, 877, 0.000103, 73, 120, 29
customers, 1, 12, 924, 0.000109, 77, 123, 36
customers, 2, 12, 860, 0.000101, 71, 107, 35
customers, 1, 12, 853, 0.000100, 71, 106, 36
customers, 2, 12, 855, 0.000101, 71, 107, 36
customers, 1, 12, 862, 0.000101, 71, 110, 34
customers, 2, 12, 862, 0.000101, 71, 110, 35
customers, 1, 12, 855, 0.000101, 71, 107, 35
customers, 2, 12, 868, 0.000102, 72, 110, 36
customers, 1, 12, 862, 0.000101, 71, 113, 28
