Start time:, 1647416506286884927
End time:, 1647416506304101572
Total time:, 17216645

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
worker, 1, 14, 8433, 0.048982, 602, 1061, 258
worker, 2, 16, 248360, 1.442557, 15522, 115492, 1093
worker, 3, 11, 438487, 2.546878, 39862, 379868, 1566
worker, 0, 16, 4652, 0.027020, 290, 533, 133
worker, 1, 14, 8953, 0.052002, 639, 1063, 234
worker, 2, 16, 256610, 1.490476, 16038, 79115, 3627
worker, 3, 12, 181883, 1.056437, 15156, 79595, 2708
worker, 0, 16, 4958, 0.028798, 309, 510, 83
worker, 1, 14, 9531, 0.055359, 680, 1030, 304
worker, 2, 16, 296496, 1.722147, 18531, 168389, 922
worker, 3, 12, 204497, 1.187787, 17041, 56375, 356
worker, 0, 16, 4104, 0.023837, 256, 336, 157
worker, 1, 14, 8180, 0.047512, 584, 1066, 280
worker, 2, 16, 96333, 0.559534, 6020, 25950, 527
worker, 3, 12, 34468, 0.200202, 2872, 21274, 328
worker, 0, 16, 4843, 0.028130, 302, 514, 141
worker, 1, 14, 10161, 0.059018, 725, 1470, 370
worker, 2, 16, 118579, 0.688746, 7411, 28791, 1661
worker, 3, 12, 134633, 0.781993, 11219, 69088, 565
worker, 0, 16, 6613, 0.038411, 413, 2122, 154
worker, 1, 14, 10403, 0.060424, 743, 1116, 304
worker, 2, 15, 185218, 1.075808, 12347, 36671, 1855
worker, 3, 12, 297092, 1.725609, 24757, 129816, 555
worker, 0, 16, 5004, 0.029065, 312, 570, 164
worker, 1, 14, 8205, 0.047657, 586, 994, 347
worker, 2, 16, 181337, 1.053266, 11333, 50657, 2080
worker, 3, 12, 322760, 1.874697, 26896, 166486, 570
worker, 0, 16, 4609, 0.026771, 288, 510, 162
worker, 2, 16, 247543, 1.437812, 15471, 86551, 2038
worker, 3, 12, 167053, 0.970299, 13921, 78608, 1809
worker, 0, 16, 4918, 0.028565, 307, 515, 177
worker, 1, 2, 1183, 0.006871, 591, 863, 320
worker, 2, 16, 254772, 1.479801, 15923, 141722, 755
worker, 3, 12, 142438, 0.827327, 11869, 89812, 1012
worker, 0, 16, 4580, 0.026602, 286, 423, 161
worker, 1, 2, 1120, 0.006505, 560, 697, 423
worker, 2, 16, 123130, 0.715180, 7695, 36354, 1360
worker, 3, 12, 108064, 0.627672, 9005, 43423, 1287
worker, 0, 16, 4607, 0.026759, 287, 473, 135
worker, 1, 2, 1183, 0.006871, 591, 810, 373
worker, 2, 16, 118229, 0.686713, 7389, 40789, 627
worker, 3, 12, 132360, 0.768791, 11030, 56261, 499
worker, 0, 16, 4408, 0.025603, 275, 390, 159
worker, 1, 12, 6301, 0.036598, 525, 837, 271
worker, 2, 16, 197861, 1.149242, 12366, 33566, 3007
worker, 3, 12, 168713, 0.979941, 14059, 34356, 1647
worker, 0, 16, 5031, 0.029222, 314, 660, 129
worker, 1, 16, 10492, 0.060941, 655, 1034, 358
worker, 2, 16, 292040, 1.696265, 18252, 110055, 3135
worker, 3, 12, 240127, 1.394737, 20010, 135450, 3015
worker, 0, 16, 4365, 0.025353, 272, 453, 141
worker, 1, 16, 10653, 0.061876, 665, 1016, 300
worker, 2, 16, 226745, 1.317010, 14171, 58034, 2943
worker, 3, 12, 145101, 0.842795, 12091, 39934, 1013
worker, 0, 16, 4834, 0.028077, 302, 600, 169
worker, 1, 16, 11747, 0.068230, 734, 1090, 328
worker, 2, 16, 684498, 3.975792, 42781, 486200, 1505
worker, 3, 12, 103610, 0.601801, 8634, 30559, 928
worker, 0, 16, 4810, 0.027938, 300, 510, 160
worker, 1, 16, 10150, 0.058955, 634, 1107, 257
worker, 2, 16, 166276, 0.965786, 10392, 35450, 1076
worker, 3, 12, 345741, 2.008179, 28811, 97785, 1770
worker, 0, 16, 4596, 0.026695, 287, 420, 163
worker, 1, 14, 8724, 0.050672, 623, 1003, 211
worker, 2, 16, 215519, 1.251806, 13469, 58686, 1456
worker, 3, 12, 291889, 1.695388, 24324, 133322, 720
worker, 0, 16, 6605, 0.038364, 412, 2125, 159
worker, 1, 12, 6389, 0.037109, 532, 916, 260
worker, 2, 16, 228963, 1.329893, 14310, 37962, 2446
worker, 3, 12, 127184, 0.738727, 10598, 60265, 1842
worker, 0, 16, 4549, 0.026422, 284, 477, 164
worker, 1, 2, 1088, 0.006319, 544, 627, 461
worker, 2, 16, 284069, 1.649967, 17754, 82328, 960
worker, 3, 12, 190198, 1.104733, 15849, 50758, 578
worker, 0, 16, 4879, 0.028339, 304, 454, 160
worker, 1, 2, 1177, 0.006836, 588, 840, 337
worker, 2, 16, 201820, 1.172238, 12613, 43650, 1782
worker, 3, 12, 141588, 0.822390, 11799, 36847, 3006
worker, 0, 16, 5119, 0.029733, 319, 527, 171
worker, 1, 2, 1308, 0.007597, 654, 846, 462
worker, 2, 16, 234293, 1.360852, 14643, 80392, 1868
worker, 3, 12, 325056, 1.888033, 27088, 124183, 3051
worker, 0, 16, 4553, 0.026445, 284, 540, 142
worker, 2, 16, 97677, 0.567341, 6104, 16211, 931
worker, 3, 12, 242364, 1.407731, 20197, 124757, 429
worker, 0, 16, 4631, 0.026898, 289, 534, 109
worker, 1, 14, 10827, 0.062887, 773, 2476, 378
worker, 2, 16, 267804, 1.555495, 16737, 65681, 2906
worker, 3, 12, 192156, 1.116106, 16013, 87835, 2994
worker, 0, 16, 4792, 0.027834, 299, 436, 174
worker, 1, 14, 8780, 0.050997, 627, 1007, 279
worker, 2, 16, 154721, 0.898671, 9670, 28504, 3414
worker, 3, 12, 332708, 1.932479, 27725, 87121, 2206
worker, 0, 16, 4593, 0.026678, 287, 449, 162
worker, 1, 14, 8010, 0.046525, 572, 977, 332
worker, 2, 16, 245453, 1.425673, 15340, 83368, 1259
worker, 3, 12, 137512, 0.798715, 11459, 75719, 2504
worker, 0, 16, 4551, 0.026434, 284, 497, 128
worker, 1, 14, 8502, 0.049382, 607, 1024, 294
worker, 2, 16, 200425, 1.164135, 12526, 44213, 1579
worker, 3, 12, 291931, 1.695632, 24327, 151155, 4113
worker, 0, 16, 5149, 0.029907, 321, 503, 151
worker, 1, 14, 8709, 0.050585, 622, 926, 278
worker, 2, 16, 255715, 1.485278, 15982, 44110, 1347
worker, 3, 12, 181949, 1.056820, 15162, 77264, 2214
worker, 0, 16, 4228, 0.024558, 264, 493, 120
worker, 1, 14, 7421, 0.043104, 530, 737, 285
worker, 2, 16, 149337, 0.867399, 9333, 32135, 1223
worker, 3, 12, 87599, 0.508804, 7299, 15381, 2133
worker, 0, 16, 4921, 0.028583, 307, 513, 132
worker, 1, 14, 8707, 0.050573, 621, 1000, 329
worker, 2, 16, 167228, 0.971316, 10451, 43699, 2401
worker, 3, 12, 241161, 1.400743, 20096, 82844, 1940
worker, 0, 16, 11481, 0.066685, 717, 7427, 105
worker, 1, 4, 2374, 0.013789, 593, 823, 284
worker, 2, 16, 195766, 1.137074, 12235, 31408, 3481
worker, 3, 12, 170288, 0.989089, 14190, 66101, 5489
worker, 0, 16, 4855, 0.028199, 303, 577, 156
worker, 1, 4, 2990, 0.017367, 747, 913, 530
worker, 2, 16, 278397, 1.617022, 17399, 85268, 2940
worker, 3, 12, 430461, 2.500261, 35871, 210288, 4903
worker, 0, 16, 4591, 0.026666, 286, 483, 146
worker, 1, 2, 1238, 0.007191, 619, 780, 458
worker, 2, 16, 1647416506290391412, 9568742959446.460938, 102963531643149463, 1647416506290126822, 2630
worker, 3, 12, 194053, 1.127124, 16171, 111755, 2387
