Start time:, 1647418581875438319
End time:, 1647418581903210049
Total time:, 27771730

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
smokers, 0, 108, 121670, 0.438107, 1126, 12107, 226
smokers, 0, 60, 56375, 0.202994, 939, 4967, 201
smokers, 0, 108, 145468, 0.523799, 1346, 4856, 460
smokers, 0, 132, 162657, 0.585693, 1232, 6227, 201
smokers, 0, 192, 191603, 0.689921, 997, 4307, 168
smokers, 0, 144, 166570, 0.599783, 1156, 4947, 257
smokers, 0, 132, 166397, 0.599160, 1260, 4514, 288
smokers, 0, 180, 226767, 0.816539, 1259, 6937, 256
smokers, 0, 228, 263013, 0.947053, 1153, 4497, 288

Schedule calls
Trigger, Occurrences
arbiter.chooseSmoker, 12000
arbiter.stop, 12
runner.nextIteration, 13
runner.done, 1
