Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction ends, smokers, 0, 23, 0, 17, 1774262, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 18, 1774798, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 18, 1775075, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 18, 1776227, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 18, 1779174, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 19, 1779712, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 19, 1779987, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 19, 1781262, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 19, 1782982, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 20, 1783512, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 20, 1783784, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 20, 1784849, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 20, 1786494, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 21, 1786979, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 21, 1787254, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 21, 1788462, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 21, 1792054, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 22, 1792590, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 22, 1792862, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 22, 1794067, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 22, 1794705, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 23, 1795243, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 23, 1795516, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 23, 1796734, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 23, 1800614, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 24, 1801107, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 24, 1801379, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 24, 1802566, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 24, 1805099, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 25, 1805636, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 25, 1805905, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 25, 1807126, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 25, 1809137, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 26, 1809678, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 26, 1809985, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 26, 1811092, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 26, 1812020, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 27, 1812513, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 27, 1812833, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 27, 1814121, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 27, 1816708, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 28, 1817292, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 28, 1817564, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 28, 1818628, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 28, 1820569, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 29, 1821076, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 29, 1824732, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 29, 1825825, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 29, 1827129, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 30, 1827641, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 30, 1827919, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 30, 1829124, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 30, 1833092, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 31, 1833628, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 31, 1833903, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 31, 1834972, NO TRIGGER, 0
