Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, smokers, 0, 0, 0, 13, 320605, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 13, 321882, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 14, 322562, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 14, 322828, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 14, 322952, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 14, 324478, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 14, 327648, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 15, 328258, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 15, 328485, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 15, 328602, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 15, 329968, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 15, 332315, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 16, 332968, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 16, 333198, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 16, 333315, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 16, 334785, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 16, 337945, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 17, 338545, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 17, 338765, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 17, 338885, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 17, 340389, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 17, 344522, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 18, 345132, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 18, 345359, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 18, 345475, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 18, 346965, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 18, 350672, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 19, 351369, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 19, 351629, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 19, 351745, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 19, 353229, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 19, 355395, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 20, 359555, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 20, 359802, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 20, 359922, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 20, 361329, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 20, 363395, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 21, 364012, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 21, 364229, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 21, 364345, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 21, 365825, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 21, 370332, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 22, 370946, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 22, 371176, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 22, 371292, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 22, 372812, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 22, 373636, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 23, 374259, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 23, 374482, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 23, 374596, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 23, 376039, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 23, 380899, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 24, 381509, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 24, 381769, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 24, 381889, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 24, 383376, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 24, 386539, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 25, 387146, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 25, 387359, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 25, 387473, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 25, 388949, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 25, 391469, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 26, 392153, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 26, 392373, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 26, 392489, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 26, 393816, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 26, 394976, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 27, 395589, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 27, 395876, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 27, 395993, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 27, 397439, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 27, 400673, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 28, 401293, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 28, 401510, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 28, 401626, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 28, 402956, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 28, 405376, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 29, 406006, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 29, 406233, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 29, 406350, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 29, 407680, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 29, 409290, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 30, 409903, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 30, 410130, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 30, 410246, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 30, 411680, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 30, 416643, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 31, 417263, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 31, 417483, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 31, 417600, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 31, 419000, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 31, 422600, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 32, 423216, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 32, 423433, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 32, 423550, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 32, 424916, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 32, 431313, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 33, 431960, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 33, 432186, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 33, 432306, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 33, 433760, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 33, 436093, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 34, 436717, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 34, 436933, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 34, 437053, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 34, 438540, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 34, 440630, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 35, 441253, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 35, 441473, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 35, 441590, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 35, 442983, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 35, 446583, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 36, 447203, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 36, 447430, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 36, 447547, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 36, 449100, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 36, 449923, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 37, 450547, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 37, 450763, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 37, 450880, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 37, 452290, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 37, 457154, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 38, 457764, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 38, 457980, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 38, 458094, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 38, 459537, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 38, 464497, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 39, 465107, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 39, 465334, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 39, 465450, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 39, 466994, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 39, 468794, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 40, 469417, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 40, 469674, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 40, 469791, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 40, 471317, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 40, 475201, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 41, 475807, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 41, 476034, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 41, 476151, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 41, 477591, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 41, 478304, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 42, 478931, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 42, 479147, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 42, 479264, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 42, 480757, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 42, 482657, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 43, 483281, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 43, 483507, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 43, 483621, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 43, 485024, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 43, 486637, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 44, 487251, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 44, 487471, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 44, 487587, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 44, 489037, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 44, 493984, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 45, 494587, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 45, 494811, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 45, 494927, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 45, 499747, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 45, 500477, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 46, 501127, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 46, 501354, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 46, 501474, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 46, 502958, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 46, 503778, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 47, 504451, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 47, 504674, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 47, 504791, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 47, 506151, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 47, 509738, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 48, 510361, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 48, 510571, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 48, 510688, NO TRIGGER, 0
